Categoria,Nombre,URL,Subsegmento,Pais,Idiomas,Precios,Features clave,SEO,Estado_link_26sep2026
Entrevistas/selección,FlightDeckFriend,https://flightdeckfriend.com,"Q-bank PDFs, CV/cover letters, coaching, sim prep",UK,EN,One-time: bundle £59.99; Q DB £39.99; tailored CV £129.99; sim prep £690; coaching not public,"350+ Q&As, CV and cover-letter templates, 2-on-1 coaching, sim prep","Broad ""become a pilot"" title; large career hub; Cloudflare",OK (bloquea bots)
Entrevistas/selección,Airline Selection Programme (ASP),https://online.airlineselectionprogramme.com,Full selection bundle incl. English,France,"EN, FR","Interview €1,290–1,500; Sim €490–500; English €299–300; CV €129–200 (one-time)","8-module interview course, 16PF, sim course, FCL.055 English, airline packs, live Q&A, iOS app",Generic title; about 58 posts; influencer affiliates,OK
Entrevistas/selección,AirlinePrep,https://airlineprep.co.uk,In-person assessment and sim courses,UK,EN,Not public (prices page blocked),"Assessment day course, group exercise, sim prep, app",Career guides section; fetch-blocked,OK (bloquea bots)
Entrevistas/selección,PilotAptitudeTest.com,https://pilotaptitudetest.com,"Aptitude, interview and group exercise software",UK,EN,"£29/7 days, £49/1 month, £69/3 months","190+ activities, 100+ assessments, AI video interview, group exercise sim",About 709 pages of programmatic airline pages,OK
Entrevistas/selección,Airline Assessment Prep,https://airlineassessmentprep.com,Airline-specific assessment packs,"US address, EU focus",EN,"€24.90–29.90/1 month, up to €59.90/6 months","43 packs, cut-e style tests, interview Q&A, type apps","About 187 pages, 3 posts; weak copy",OK
Entrevistas/selección,PASS PilotAssessments,https://pilotassessments.com,Psychometric and HR prep,n/a,EN,Not public,"cut-e, COMPASS, PILAPT, Mollymawk, 1,000+ ATPL Qs",Small (about 33 URLs); off-target meta,OK
Entrevistas/selección,FlightDeckIQ,https://flightdeckiq.com,AI interview for Emirates and Riyadh Air,n/a (EUR),EN,€179 one-time; 7-day free trial,"AI video with ICAO English scoring, psychometrics, COMPASS battery",Tiny (about 22 URLs); niche title,OK
Entrevistas/selección,Your Pilot Interview,https://yourpilotinterview.com,"Technical, HR and sim Q-bank",France,EN,€25/month; €55/3 months; €69/6 months; €79/12 months,"946 Qs, A320/B737, AI one-way video interview","Targets ""pilot interview questions""; about 197 URLs",OK
Entrevistas/selección,Rotate,https://rotatepilot.com,"Exams, interview packs, AI mock",US (FAA/EASA),EN,$14.99–29.99/month; pack $29; AI mock $79/$199/$399,"9 airline packs incl. LATAM, AI mock, aptitude, AI tutor","About 2,520 programmatic URLs",OK
Entrevistas/selección,Airmappr,https://airmappr.com,Interview Q-bank and career tools,EU,EN,Interview €49.90–79.90; aptitude €29.90; airline packs €25,"10,000+ Qs across 30 airlines, AI CV, aptitude trainer",About 504 URLs (326 articles); no meta,OK
Entrevistas/selección,Vectors to Hired,https://vectorstohired.com,US gouge flashcards and AI voice,US,EN,Free; $39/month; $99/90 days,"11,431 interview and 2,925 checkride cards, 56 operators, AI voice mock",Question counts in title; about 266 URLs,OK
Entrevistas/selección,AirlinePilotPrep,https://airlinepilotprep.com,US gouge database,US,EN,Free; $29 or $59 per 60 days,"12,145 pilot answers, sim/CRM scenarios","About 44 URLs; clear ""gouge"" title",OK
Entrevistas/selección,AviationInterviews.com,https://aviationinterviews.com,Legacy US gouge DB,US,EN,"Paid membership, not shown","80+ carriers, 844 study Qs, iOS app","Old site, no meta description",OK
Entrevistas/selección,Emerald Coast Interview Consulting,https://www.emeraldcoastinterviewconsulting.com,US coaching leader,US,EN,$795 prep; TSA/CRM $395; app review $499,"40+ coaches, unlimited group coaching, guarantee","""#1 Airline Interview Training""; active blog",OK
Entrevistas/selección,Cage Marshall Consulting,https://cageconsulting.com,"US coaching, books, applications",US,EN,Prep package $699; self-study $199; hourly $249,"Founded 1988, books, webinars, ALPA discounts",Shopify; clear title,OK
Entrevistas/selección,Spitfire Elite,https://spitfireelite.com,US coaching plus AI,US,EN,"$849–$3,299 packages; payment plans","Blaze AI coach, webinars, community",About 261 blog posts,OK
Entrevistas/selección,Aviator Intelligence,https://aviatorintelligence.com,US premium coaching,US,EN,"$99–449 services; $1,999–$5,899 programs","Ex-hiring-manager 1:1, application platform",Empty title tag,OK
Entrevistas/selección,Centerline,https://centerlineinterviewprep.com,US 1:1 coaching,US,EN,Not public,"1:1 prep, app and resume review",Small; no blog,OK
Entrevistas/selección,My Pilot Interview,https://mypilotinterview.com,US 1:1 coaching,US,EN,$200/hr; reviews $275,"Ex-recruiter mocks, LinkedIn, logbook",Minimal title,OK
Entrevistas/selección,King Schools Interview Prep,https://kingschools.com/airline-pilot-interview-prep,Video course,US,EN,$99 one-time (list $179),"50 minutes of video, app",Broken meta description,OK
Entrevistas/selección,Latest Pilot Jobs guides,https://latestpilotjobs.com/interviews,Airline guides and job board,Sweden,EN,$39.95/month to $89.95/year per guide,About 35 intl airline guides incl. Copa,Job-board traffic; no meta,OK
Entrevistas/selección,Pilot DMello VIP,https://courses.www.pilotdmello.com,Solo coach course,Canada,EN,CAD 200–250; renewal CAD 100,"Video lessons, app, Zoom mock",Subdomain; minimal,OK
Entrevistas/selección,Pinstripe Solutions,https://pinstripesolutions.com,APAC 4-step program,Australia,EN,Not public,"40+ airline notes, video, 1:1, sim",n/a,OK
Entrevistas/selección,Cockpit Ready,https://cockpitready.com,Cadet selection workspace,EU,EN,Free account; paid not shown,"ATPL bank, Wizz cadet track, cognitive games",Descriptive title and meta,OK
Entrevistas/selección,Wingward (app),https://apps.apple.com/us/app/pilot-ready/id6760256055,Mobile airline interview prep,EU (indie dev),EN,$8.99–$29.99 per airline pass; AI credits,"Emirates, Etihad, Air Macau packs, AI",App Store only,OK
Entrevistas/selección,Pilot Interview (SAGA app),https://apps.apple.com/us/app/pilot-interview/id6503417121,Mobile technical Q-bank,Brazil,EN,$8.99 paid app,700+ technical Qs,App Store only,OK
Entrevistas/selección,Airline Pilot Central,https://airlinepilotcentral.com,Free profiles and forum gouge,US,EN,Free,"95+ airline profiles, interview forums",Dominant US forum authority,OK
Psicotécnicos/aptitud,PilotAptitudeTest.com,https://pilotaptitudetest.com,A,UK,EN,"£29/7d, £49/1m, £69/3m","100+ assessments, 150+ airlines, 190+ activities, joystick, AI video interview, forum",~709 programmatic airline-guide pages; market leader,OK
Psicotécnicos/aptitud,SkyTest,https://skytest.com,A,DE,"EN, DE (+ ccTLDs)",€49.95–99.95 per test package; hardware €69.95–339.95,"DLR, Swiss, UK, Middle East, Asia, Turkey packages; desktop + apps; joystick, pedals, yoke",No meta desc; ~767 URLs; strong brand,OK
Psicotécnicos/aptitud,Pilotest,https://pilotest.com,A,FR (inferred),"EN, FR",Free (ad-funded),"PILAPT, COMPASS, Cut-e, DLR, Air France, ENAC replicas; stanine ranking",hreflang en/fr; per-battery landings; blog subdomain,OK
Psicotécnicos/aptitud,PilotentestTraining,https://pilotentest.training,A,DE,"DE, EN","€49/1m, €99/3m, €149/6m","All 10 DLR tests, test-day sim, ""FlightBrain AI"" plan, apps, joystick, pass guarantee",hreflang de/en; 36 posts,OK
Psicotécnicos/aptitud,Symbiotics ADAPT (via FlightDeckFriend),https://symbioticsltd.com/flight-deck-friend,C,UK,EN,"£47–£249 per 3-month bundle (cadet, FO, captain)","Official ADAPT practice incl. FAST, CRM, personality",B2B site; consumer traffic via FlightDeckFriend,OK
Psicotécnicos/aptitud,JobTestPrep,https://jobtestprep.co.uk/pilot-aptitude-test,B,Global (reported IL),EN; ES/PT pages with EN content,"£59/1m, £79/3m; bundle £99; AI interview £29–39","~100 reasoning tests, group/role-play, no psychomotor","Huge DA; ranks in ES for ""pruebas psicométricas piloto""",OK
Psicotécnicos/aptitud,PASS PilotAssessments (+ Pilot Assessment Prep cluster),https://pilotassessments.com,A,Not disclosed,EN,"One-time, price not rendered; ""29.90€"" in testimonial","Cut-e, COMPASS, PILAPT, Mollymawk, IP-BQ + ATPL 1k Q + English + interview",Weak meta; placeholder text; low trust,OK
Psicotécnicos/aptitud,AvioTest,https://aviotest.org,A,TR,"TR, EN","99₺/7d, 299₺/1m, 799₺/3m","THY PACE, Pegasus CASE, SunExpress Mollymawk; 20+ modules; offline app",Airline-keyword title; 82 URLs,OK
Psicotécnicos/aptitud,Plakos Akademie,https://plakos-akademie.de,B,DE,DE,€59 / €79 / €99 / €149,"1,000+ DLR tasks, videos, app, Vimana, AI ""Lernbuddy"" €29",Large DE content farm,OK
Psicotécnicos/aptitud,SkyStudy ATPL,https://skystudyatpl.com,F/A,Not disclosed,EN,"Free beta; planned ATPL €29.99/mo, ICAO English €59–89, interview €79","Free aptitude drills + 31k ATPL Q + ICAO English (AI) + CV, jobs, forum",~500 programmatic URLs; closest to Aviatory concept,OK
Psicotécnicos/aptitud,AviatorCloud,https://aviatorcloud.com,A/E,IN,EN,Not public (course-bundled),"6 simulators, stanine, IGRUA focus",India-targeted meta,OK
Psicotécnicos/aptitud,Practice Aptitude Tests,https://practiceaptitudetests.com,B,UK,EN,£29/month or £39/year (as displayed),"10 pilot tests, worked answers",Generic high-DA domain,OK
Psicotécnicos/aptitud,Psychometric Success,https://psychometric-success.com,F,UK,EN,Free content,"COMPASS guides, samples","Ranks top for ""pilot aptitude test""",OK
Psicotécnicos/aptitud,MOLLYMAWK psychometrics,https://mollymawk.de,C,DE,EN,Not public,Official test publisher; candidate prep mentioned,B2B,OK
Psicotécnicos/aptitud,Ausbildungspark / eTrainer,https://ausbildungspark.com,B,DE,DE,€29.90–49.90 (related trainer); eTrainer not visible,DLR sample tasks,German long-tail SEO,OK
Psicotécnicos/aptitud,App-store apps (Aon/AFOQT; Pilot Aptitude Training),https://apps.apple.com,D,TR dev / AU,"EN, FR, DE / EN","$4.99/wk, $12.99/mo, $19.99 lifetime / $19.99","21 modules / 1,600 Q, 3D spatial",Very few ratings; fragmented,OK
Psicotécnicos/aptitud,Psicotecnica.lat,https://psicotecnica.lat,B,MX,ES,Not visible,PDFs + simulators; Aeroméxico / LATAM pages,"Programmatic ""[company] psicométricos"" pages",OK
Psicotécnicos/aptitud,WASIM,https://wasim.es,E,ES,ES,Custom quotes,"In-person interview, group dynamics, psychotech, A320 sim, TR","hreflang es; targets ""entrevista piloto aerolínea""",OK
Psicotécnicos/aptitud,AVIAPREP,https://preparatorioparalinhaaerea.com.br,E,BR,PT,Not public,"GOL/LATAM/Azul prep, interviews, A320, psychotech bonus",Weak title; exact-match domain,OK (bloquea bots)
